date,state,district,pincode,bio_age_5_17,bio_age_17_
01-03-2025,Haryana,Mahendragarh,123029,280,577
01-03-2025,Bihar,Madhepura,852121,144,369
01-03-2025,Jammu and Kashmir,Punch,185101,643,1091
01-03-2025,Bihar,Bhojpur,802158,256,980
01-03-2025,Tamil Nadu,Madurai,625514,271,815
01-03-2025,Maharashtra,Ratnagiri,416702,155,529
01-03-2025,Gujarat,Anand,388130,75,143
01-03-2025,Gujarat,Gandhinagar,382421,192,298
01-03-2025,Odisha,Dhenkanal,759025,122,214
01-03-2025,Gujarat,Valsad,396055,67,85
01-03-2025,Tamil Nadu,Salem,636119,103,63
01-03-2025,West Bengal,Hooghly,712414,91,97
01-03-2025,West Bengal,Paschim Medinipur,721147,86,116
01-03-2025,Kerala,Wayanad,670721,75,293
01-03-2025,Rajasthan,Sawai Madhopur,322027,108,300
01-03-2025,Bihar,Vaishali,844504,426,958
01-03-2025,Tamil Nadu,Karur,639105,131,103
01-03-2025,Punjab,Rupnagar,140118,38,97
01-03-2025,Gujarat,Sabarkantha,383440,56,91
01-03-2025,Himachal Pradesh,Una,177039,24,30
01-03-2025,Rajasthan,Bhilwara,311805,52,64
01-03-2025,Uttar Pradesh,Bara Banki,225408,17,3
01-03-2025,Assam,Cachar,788106,21,24
01-03-2025,Uttarakhand,Dehradun,248146,13,17
01-03-2025,Himachal Pradesh,Chamba,176302,83,101
01-03-2025,Madhya Pradesh,Shajapur,465339,234,153
01-03-2025,Tamil Nadu,The Nilgiris,643231,53,59
01-03-2025,Maharashtra,Wardha,442101,269,538
01-03-2025,Odisha,Nabarangapur,764075,438,605
01-03-2025,Punjab,Shaheed Bhagat Singh Nagar,144514,134,249
01-03-2025,Karnataka,Davangere,577002,219,386
01-03-2025,Gujarat,Dahod,389382,341,569
01-03-2025,Tamil Nadu,Tiruppur,641654,307,415
01-03-2025,Haryana,Mahendragarh,123001,454,730
01-03-2025,Andhra Pradesh,Vizianagaram,535592,77,72
01-03-2025,Punjab,Moga,142041,69,138
01-03-2025,Gujarat,Rajkot,363630,17,79
01-03-2025,Telangana,Hyderabad,500013,581,654
01-03-2025,Odisha,Sundergarh,769004,152,186
01-03-2025,Andhra Pradesh,Kurnool,518385,291,138
01-03-2025,Kerala,Wayanad,673121,130,225
01-03-2025,Andhra Pradesh,Warangal,506163,39,92
01-03-2025,Tamil Nadu,Tirunelveli,627108,238,435
01-03-2025,Goa,South Goa,403601,183,188
01-03-2025,Andhra Pradesh,Anantapur,515301,83,105
01-03-2025,Kerala,Thiruvananthapuram,695303,71,78
01-03-2025,Andhra Pradesh,Srikakulam,532459,362,161
01-03-2025,Telangana,Nizamabad,503164,399,120
01-03-2025,Odisha,Cuttack,753003,40,112
01-03-2025,Rajasthan,Baran,325216,438,580
01-03-2025,Andhra Pradesh,Guntur,522329,126,55
01-03-2025,Karnataka,Mysuru,571602,117,131
01-03-2025,West Bengal,Purba Medinipur,721441,49,53
01-03-2025,Kerala,Ernakulam,682508,48,64
01-03-2025,Madhya Pradesh,Balaghat,481335,328,401
01-03-2025,Tamil Nadu,Sivaganga,630106,59,58
01-03-2025,Bihar,Bhojpur,802164,165,311
01-03-2025,Tamil Nadu,Tirunelveli,627761,46,36
01-03-2025,Madhya Pradesh,Harda *,461441,30,143
01-03-2025,Nagaland,Mokokchung,798613,18,70
01-03-2025,Karnataka,Uttara Kannada,581344,15,7
01-03-2025,Tamil Nadu,Perambalur,621113,198,80
01-03-2025,Karnataka,Udupi,574114,16,16
01-03-2025,Andhra Pradesh,Ananthapur,515261,58,11
01-03-2025,Tamil Nadu,Coimbatore,642104,55,55
01-03-2025,Jharkhand,West Singhbhum,833213,93,70
01-03-2025,Karnataka,Tumakuru,572225,16,3
01-03-2025,West Bengal,Birbhum,731244,46,52
01-03-2025,Andhra Pradesh,Visakhapatnam,530045,50,134
01-03-2025,Uttar Pradesh,Hardoi,241406,803,216
01-03-2025,Uttar Pradesh,Siddharthnagar,272205,857,272
01-03-2025,Jharkhand,Dhanbad,828304,44,118
01-03-2025,Bihar,Darbhanga,846003,438,859
01-03-2025,Madhya Pradesh,Jabalpur,482002,458,678
01-03-2025,West Bengal,North 24 Parganas,743145,127,234
01-03-2025,Uttar Pradesh,Hardoi,241304,1025,328
01-03-2025,Karnataka,Tumkur,572175,25,56
01-03-2025,Jammu and Kashmir,Leh,194401,52,43
01-03-2025,Andhra Pradesh,West Godavari,534316,134,73
01-03-2025,Haryana,Kaithal,136044,235,368
01-03-2025,Gujarat,Kachchh,370140,392,286
01-03-2025,Andhra Pradesh,Krishna,521401,109,125
01-03-2025,Karnataka,Davangere,577001,318,517
01-03-2025,Kerala,Kannur,670633,22,52
01-03-2025,Karnataka,Shivamogga,577401,62,50
01-03-2025,West Bengal,Bankura,722151,178,160
01-03-2025,Rajasthan,Rajsamand,313331,454,345
01-03-2025,Kerala,Thiruvananthapuram,695582,33,90
01-03-2025,Assam,Cachar,788123,15,21
01-03-2025,Karnataka,Davangere,577003,39,87
01-03-2025,Tamil Nadu,Namakkal,636203,49,51
01-03-2025,Tamil Nadu,Thiruvarur,614704,174,105
01-03-2025,Telangana,Karimnagar,505331,68,77
01-03-2025,Assam,South Salmara Mankachar,783131,63,49
01-03-2025,Himachal Pradesh,Shimla,171201,42,54
01-03-2025,Telangana,Nalgonda,508210,69,64
01-03-2025,Bihar,Saharsa,852210,58,118
01-03-2025,Tamil Nadu,Kanniyakumari,629165,40,115
01-03-2025,Telangana,Medak,502280,32,46
01-03-2025,Telangana,Warangal,506015,31,29
01-03-2025,Tamil Nadu,Viluppuram,604203,35,70
01-03-2025,Goa,North Goa,403115,13,8
01-03-2025,West Bengal,Barddhaman,713158,12,13
01-03-2025,Gujarat,Vadodara,390006,248,496
01-03-2025,Odisha,Balangir,767033,247,482
01-03-2025,Nagaland,Dimapur,797103,155,381
01-03-2025,Maharashtra,Amravati,444801,291,1013
01-03-2025,Odisha,Kendrapara,754224,381,483
01-03-2025,Jharkhand,Palamu,822113,1487,1171
01-03-2025,Delhi,South West Delhi,110072,183,153
01-03-2025,Tamil Nadu,Salem,636008,410,430
01-03-2025,Tamil Nadu,Thoothukkudi,628612,86,375
01-03-2025,Jammu and Kashmir,Kupwara,193224,455,752
01-03-2025,Karnataka,Vijayapura,586117,172,78
01-03-2025,Haryana,Rewari,123102,96,201
01-03-2025,Gujarat,Banaskantha,385320,486,570
01-03-2025,Rajasthan,Nagaur,341513,148,201
01-03-2025,Maharashtra,Dhule,424308,103,355
01-03-2025,Kerala,Kozhikode,673508,91,141
01-03-2025,Telangana,Warangal,506105,59,70
01-03-2025,Maharashtra,Ratnagiri,415606,47,182
01-03-2025,Himachal Pradesh,Kangra,176206,135,149
01-03-2025,Andhra Pradesh,Srikakulam,532292,377,54
01-03-2025,Tamil Nadu,Ramanathapuram,623401,32,106
01-03-2025,Andhra Pradesh,Adilabad,504215,17,102
01-03-2025,Tamil Nadu,Tiruchirappalli,621014,73,65
01-03-2025,Kerala,Ernakulam,682034,32,50
01-03-2025,Punjab,Moga,151208,56,60
01-03-2025,Odisha,Khorda,754001,23,31
01-03-2025,Tamil Nadu,Nagapattinam,609311,57,49
01-03-2025,Kerala,Thiruvananthapuram,695143,25,66
01-03-2025,Tamil Nadu,Kanniyakumari,629901,20,60
01-03-2025,Himachal Pradesh,Kinnaur,172109,11,21
01-03-2025,Odisha,Baleswar,756032,250,452
01-03-2025,Bihar,Katihar,855105,684,838
01-03-2025,Odisha,Jajapur,755043,123,116
01-03-2025,Madhya Pradesh,Rewa,486223,737,750
01-03-2025,Maharashtra,Wardha,442201,262,612
01-03-2025,Uttar Pradesh,Ballia,277209,293,185
01-03-2025,Odisha,Mayurbhanj,757014,99,170
01-03-2025,Madhya Pradesh,Morena,476229,2064,1323
01-03-2025,Rajasthan,Jodhpur,342901,181,185
01-03-2025,Punjab,Shaheed Bhagat Singh Nagar,144517,78,162
01-03-2025,Karnataka,Dharwad,580008,189,259
01-03-2025,Andhra Pradesh,Guntur,522549,188,130
01-03-2025,Jharkhand,Ranchi,834003,354,458
01-03-2025,Andhra Pradesh,Visakhapatnam,530013,148,276
01-03-2025,Kerala,Thrissur,680505,11,69
01-03-2025,Tamil Nadu,Salem,636105,490,169
01-03-2025,Maharashtra,Ahmadnagar,413718,53,102
01-03-2025,Uttar Pradesh,Lucknow,226012,232,252
01-03-2025,Madhya Pradesh,Jhabua,457993,264,412
01-03-2025,Tamil Nadu,Tirunelveli,627117,246,293
01-03-2025,Odisha,Balangir,767046,45,79
01-03-2025,West Bengal,Maldah,732103,11,85
01-03-2025,Nagaland,Phek,797108,29,112
01-03-2025,Maharashtra,Nagpur,440012,38,106
01-03-2025,Telangana,Bhadradri Kothagudem,507124,23,40
01-03-2025,Uttar Pradesh,Bara Banki,225206,259,117
01-03-2025,Tamil Nadu,Villupuram,604305,24,9
01-03-2025,Kerala,Ernakulam,682019,55,113
01-03-2025,Rajasthan,Sikar,332603,63,115
01-03-2025,Kerala,Alappuzha,690572,32,67
01-03-2025,Uttar Pradesh,Lucknow,226030,10,24
01-03-2025,Kerala,Pathanamthitta,689625,14,38
01-03-2025,Bihar,Patna,800018,21,20
01-03-2025,Himachal Pradesh,Solan,173223,14,23
01-03-2025,Kerala,Thiruvananthapuram,695025,10,29
01-03-2025,Karnataka,Kalaburagi,585217,124,81
01-03-2025,Uttar Pradesh,Siddharthnagar,272153,1457,670
01-03-2025,Bihar,Supaul,852123,43,87
01-03-2025,Tamil Nadu,Erode,638452,160,209
01-03-2025,Madhya Pradesh,Gwalior,474012,323,246
01-03-2025,Andhra Pradesh,Sri Sathya Sai,515591,43,35
01-03-2025,Maharashtra,Ahmadnagar,414402,158,263
01-03-2025,Bihar,Begusarai,851127,767,924
01-03-2025,Odisha,Kalahandi,766002,686,1107
01-03-2025,Maharashtra,Solapur,413101,108,350
01-03-2025,Tamil Nadu,Sivaganga,630557,36,40
01-03-2025,Odisha,Koraput,764057,440,509
01-03-2025,Chhattisgarh,Janjgir-champa,495660,101,420
01-03-2025,Chhattisgarh,Koriya,497449,158,924
01-03-2025,Uttar Pradesh,Bahraich,271803,107,36
01-03-2025,Andhra Pradesh,Anantapur,515541,21,47
01-03-2025,West Bengal,Jalpaiguri,735121,119,154
01-03-2025,Tamil Nadu,Tiruvallur,600116,217,360
01-03-2025,Jammu and Kashmir,Jammu,181204,75,115
01-03-2025,Madhya Pradesh,Shajapur,465113,149,129
01-03-2025,Madhya Pradesh,Khargone,451442,335,427
01-03-2025,Uttar Pradesh,Basti,272177,40,45
01-03-2025,Gujarat,Panchmahals,389220,79,423
01-03-2025,Telangana,Warangal,506122,79,71
01-03-2025,Maharashtra,Kolhapur,416234,74,140
01-03-2025,Andhra Pradesh,East Godavari,533293,141,48
01-03-2025,Gujarat,Devbhumi Dwarka,360590,18,1
01-03-2025,Gujarat,Anand,388540,202,240
01-03-2025,Andhra Pradesh,Guntur,522265,349,132
01-03-2025,Andhra Pradesh,Hyderabad,500017,32,226
01-03-2025,Tamil Nadu,Tirupattur,635710,94,7
01-03-2025,Andhra Pradesh,Chittoor,517213,101,58
01-03-2025,Gujarat,Vadodara,391130,11,49
01-03-2025,Madhya Pradesh,Jabalpur,482005,310,506
01-03-2025,Karnataka,Raichur,584118,116,134
01-03-2025,Assam,Kamrup,781104,107,29
01-03-2025,Gujarat,Rajkot,360024,122,89
01-03-2025,Andhra Pradesh,Hyderabad,500065,23,104
01-03-2025,Madhya Pradesh,West Nimar,451115,12,54
01-03-2025,Andhra Pradesh,Krishna,521162,80,24
01-03-2025,West Bengal,Uttar Dinajpur,733252,13,14
01-03-2025,Rajasthan,Pali,306503,66,146
01-03-2025,Odisha,Ganjam,761041,86,174
01-03-2025,Telangana,K.v. Rangareddy,509217,146,171
01-03-2025,Uttar Pradesh,Allahabad,221507,262,174
01-03-2025,West Bengal,Uttar Dinajpur,733202,198,568
01-03-2025,Jharkhand,Bokaro,827302,235,471
01-03-2025,Bihar,Darbhanga,847306,330,381
01-03-2025,Bihar,Banka,811308,16,18
01-03-2025,Jharkhand,Godda,814160,1193,550
01-03-2025,Kerala,Malappuram,676103,48,64
01-03-2025,Rajasthan,Barmer,344001,758,887
01-03-2025,Uttar Pradesh,Unnao,241501,1265,369
01-03-2025,Jharkhand,Latehar,829203,368,570
01-03-2025,Karnataka,Tumkur,572136,18,31
01-03-2025,Uttar Pradesh,Budaun,202524,261,117
01-03-2025,Odisha,Khorda,752031,193,262
01-03-2025,West Bengal,Purba Medinipur,721455,43,64
01-03-2025,Odisha,Sundergarh,770048,276,194
01-03-2025,Jharkhand,Latehar,822126,508,260
01-03-2025,West Bengal,Birbhum,731224,344,550
01-03-2025,Jammu and Kashmir,Samba,181133,77,90
01-03-2025,Chhattisgarh,Baloda Bazar,493113,34,109
01-03-2025,Uttar Pradesh,Kanpur Dehat,209115,376,103
01-03-2025,West Bengal,South 24 Parganas,743375,247,333
01-03-2025,Chhattisgarh,Jashpur,496331,103,527
01-03-2025,Maharashtra,Chandrapur,442505,145,359
01-03-2025,Uttarakhand,Bageshwar,263631,21,48
01-03-2025,Tamil Nadu,Cuddalore,607805,114,106
01-03-2025,Uttar Pradesh,Aligarh,202125,750,139
01-03-2025,Assam,Goalpara,783121,26,28
01-03-2025,Maharashtra,Ahmadnagar,413706,130,358
01-03-2025,Gujarat,Mahisagar,389240,215,165
01-03-2025,Assam,Dibrugarh,786602,93,73
01-03-2025,Rajasthan,Sikar,332722,63,111
01-03-2025,Gujarat,Patan,384220,86,142
01-03-2025,Himachal Pradesh,Bilaspur,174024,21,44
01-03-2025,Uttarakhand,Tehri Garhwal,249146,179,115
01-03-2025,Jharkhand,Ranchi,835101,87,274
01-03-2025,West Bengal,North 24 Parganas,743245,197,175
